state,zipcode,fips
DC,20006,11001
DC,20052,11001
DC,20057,11001
DC,20004,11001
DC,20064,11001
DC,20010,11001
DC,20007,11001
DC,20017,11001
DC,20032,11001
DC,20024,11001
DC,20003,11001
DC,20008,11001
DC,20018,11001
DC,20059,11001
DC,20045,11001
DC,20011,11001
DC,20012,11001
DC,20002,11001
DC,20005,11001
DC,20009,11001
DC,20015,11001
DC,20019,11001
DC,20001,11001
DC,20016,11001
DC,20037,11001
DC,20020,11001
DC,20036,11001
AL,36051,01001
AL,36051,01021
AL,36051,01037
AL,36051,01051
AL,35126,01009
AL,35126,01073
AL,35126,01115
AL,35085,01021
AL,35085,01117
AL,35580,01127
AL,36029,01011
AL,36029,01087
AL,36029,01101
AL,36029,01109
AL,36432,01035
AL,36432,01053
AL,35036,01073
AL,36564,01003
AL,35573,01127
AL,35957,01009
AL,35957,01049
AL,35957,01055
AL,35957,01095
AL,35007,01117
AL,35179,01043
AL,35179,01079
AL,35179,01103
AL,35179,01133
AL,36582,01097
AL,36108,01001
AL,36108,01051
AL,36108,01085
AL,36108,01101
AL,35541,01043
AL,35541,01127
AL,35541,01133
AL,35961,01019
AL,35961,01049
AL,35961,01055
AL,36024,01037
AL,36024,01051
AL,35072,01027
AL,35072,01037
AL,35072,01121
AL,35072,01123
AL,35466,01063
AL,35466,01107
AL,35466,01125
AL,36775,01047
AL,36775,01085
AL,35491,01063
AL,36101,01101
AL,36476,01039
AL,35976,01009
AL,35976,01043
AL,35976,01095
AL,35474,01007
AL,35474,01063
AL,35474,01065
AL,35474,01105
AL,35474,01125
AL,35504,01043
AL,35504,01127
AL,35504,01133
AL,36579,01003
AL,35646,01033
AL,35646,01059
AL,35646,01079
AL,36303,01045
AL,36303,01067
AL,36303,01069
AL,35987,01055
AL,35987,01115
AL,35581,01059
AL,35581,01093
AL,35581,01133
AL,35540,01043
AL,35540,01079
AL,35540,01133
AL,36753,01099
AL,36753,01131
AL,35249,01073
AL,36908,01023
AL,36908,01025
AL,35173,01073
AL,35173,01115
AL,36265,01015
AL,36265,01055
AL,36585,01025
AL,36585,01129
AL,35951,01049
AL,35951,01095
AL,35115,01007
AL,35115,01021
AL,35115,01117
AL,35550,01127
AL,36475,01035
AL,36475,01053
AL,36475,01099
AL,35645,01033
AL,35645,01077
AL,35645,01079
AL,36323,01031
AL,36323,01039
AL,36323,01041
AL,36251,01027
AL,36251,01123
AL,35045,01021
AL,35633,01033
AL,35633,01077
AL,35563,01057
AL,35563,01075
AL,35563,01093
AL,36353,01045
AL,36353,01067
AL,36524,01023
AL,36524,01025
AL,36524,01129
AL,36310,01005
AL,36310,01067
AL,35023,01073
AL,35023,01127
AL,35180,01009
AL,35180,01073
AL,35772,01071
AL,35443,01063
AL,35443,01065
AL,35443,01107
AL,35443,01119
AL,36266,01027
AL,36266,01029
AL,36266,01111
AL,36266,01121
AL,35978,01049
AL,35978,01071
AL,36467,01031
AL,36467,01039
AL,36467,01041
AL,36467,01061
AL,36748,01091
AL,36032,01013
AL,36032,01041
AL,36032,01085
AL,36453,01031
AL,36453,01039
AL,36453,01061
AL,35572,01079
AL,35572,01133
AL,35632,01077
AL,35674,01033
AL,35674,01059
AL,35674,01077
AL,36064,01051
AL,36064,01087
AL,36064,01101
AL,35121,01009
AL,35121,01055
AL,35121,01115
AL,35634,01033
AL,35634,01077
AL,36010,01005
AL,36010,01031
AL,36010,01045
AL,36010,01109
AL,35773,01083
AL,35773,01089
AL,36420,01035
AL,36420,01039
AL,36420,01053
AL,36075,01051
AL,36075,01087
AL,36075,01101
AL,35112,01115
AL,35959,01019
AL,35959,01049
AL,36042,01013
AL,36042,01041
AL,36042,01085
AL,36925,01023
AL,36925,01091
AL,36925,01119
AL,35555,01057
AL,35555,01075
AL,35555,01107
AL,35555,01125
AL,35901,01019
AL,35901,01055
AL,36866,01081
AL,36866,01087
AL,36866,01123
AL,36742,01063
AL,36742,01065
AL,36742,01091
AL,36083,01051
AL,36083,01087
AL,36083,01123
AL,36756,01047
AL,36756,01065
AL,36756,01105
AL,35070,01043
AL,36543,01053
AL,36038,01039
AL,35146,01009
AL,35146,01073
AL,35146,01115
AL,35151,01021
AL,35151,01037
AL,35151,01117
AL,35151,01121
AL,35160,01027
AL,35160,01115
AL,35160,01121
AL,35229,01073
AL,35545,01057
AL,35546,01057
AL,35546,01125
AL,35546,01127
AL,35548,01093
AL,35254,01073
AL,35462,01063
AL,35462,01065
AL,35462,01107
AL,35462,01119
AL,35462,01125
AL,35470,01063
AL,35470,01091
AL,35470,01119
AL,35564,01059
AL,35564,01093
AL,35565,01059
AL,35565,01079
AL,35565,01093
AL,35565,01133
AL,35574,01057
AL,35574,01075
AL,35574,01107
AL,35574,01125
AL,35577,01133
AL,35405,01125
AL,35441,01063
AL,35441,01065
AL,35444,01073
AL,35444,01125
AL,35475,01073
AL,35475,01125
AL,35481,01107
AL,35501,01127
AL,35033,01009
AL,35033,01043
AL,35033,01127
AL,35034,01007
AL,35034,01105
AL,35034,01125
AL,35035,01007
AL,35035,01021
AL,35035,01117
AL,35042,01007
AL,35042,01105
AL,35042,01125
AL,35046,01021
AL,35046,01037
AL,35046,01117
AL,35051,01117
AL,35051,01121
AL,35052,01115
AL,35053,01043
AL,35053,01127
AL,35053,01133
AL,35057,01043
AL,35057,01133
AL,35060,01073
AL,35071,01073
AL,35183,01037
AL,35186,01117
AL,35186,01121
AL,35074,01007
AL,35077,01009
AL,35077,01043
AL,35136,01021
AL,35136,01037
AL,35136,01051
AL,36558,01023
AL,36558,01129
AL,36559,01003
AL,36567,01003
AL,36568,01097
AL,36921,01023
AL,36921,01025
AL,36921,01091
AL,35620,01083
AL,36067,01001
AL,36067,01051
AL,36067,01085
AL,36067,01101
AL,36069,01011
AL,36069,01101
AL,36069,01109
AL,36078,01051
AL,36078,01087
AL,36078,01101
AL,36078,01123
AL,36079,01031
AL,36079,01101
AL,36079,01109
AL,35640,01103
AL,36081,01011
AL,36081,01101
AL,36081,01109
AL,36082,01109
AL,36093,01051
AL,36093,01101
AL,36587,01097
AL,35653,01033
AL,35653,01059
AL,36107,01101
AL,36117,01051
AL,36117,01101
AL,36203,01015
AL,36203,01029
AL,36203,01121
AL,36258,01015
AL,36258,01027
AL,36258,01029
AL,36258,01111
AL,36258,01121
AL,36262,01029
AL,36688,01097
AL,35756,01083
AL,35756,01089
AL,35756,01103
AL,35761,01071
AL,35761,01089
AL,36274,01017
AL,36274,01111
AL,36276,01017
AL,36276,01027
AL,36276,01111
AL,36276,01123
AL,35765,01049
AL,35765,01071
AL,35768,01071
AL,36278,01111
AL,36720,01047
AL,36720,01131
AL,36726,01047
AL,36726,01099
AL,36726,01131
AL,36311,01005
AL,36311,01031
AL,36311,01045
AL,36311,01109
AL,36312,01067
AL,36312,01069
AL,36744,01063
AL,36744,01065
AL,36744,01105
AL,36750,01001
AL,36750,01007
AL,36750,01021
AL,36751,01025
AL,36751,01099
AL,36751,01131
AL,36344,01045
AL,36344,01061
AL,36344,01069
AL,36345,01045
AL,36345,01067
AL,36345,01069
AL,36350,01045
AL,36350,01069
AL,36360,01031
AL,36360,01045
AL,36761,01013
